AppName,ExecutablePath,ShortcutPath,AppUserModelID
FEX Imager,C:\DF Tools\FEX Imager\FEXImager.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\FEX Imager\FEX Imager.lnk,
Uninstall  FEX Imager,C:\Program Files\GetData\FEX Imager\unins000.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\FEX Imager\Uninstall  FEX Imager.lnk,
MSYS2 CLANG64,C:\msys64\clang64.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 CLANG64.lnk,
MSYS2 CLANGARM64,C:\msys64\clangarm64.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 CLANGARM64.lnk,
MSYS2 MINGW64,C:\msys64\mingw64.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 MINGW64.lnk,
MSYS2 MSYS,C:\msys64\msys2.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 MSYS.lnk,
MSYS2 UCRT64,C:\msys64\ucrt64.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\MSYS2\MSYS2 UCRT64.lnk,
CurseForge,C:\Program Files (x86)\Overwolf\OverwolfLauncher.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Overwolf\CurseForge.lnk,
Overwolf,C:\Program Files (x86)\Overwolf\OverwolfLauncher.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Overwolf\Overwolf.lnk,
Rala AI - Valorant,C:\Program Files (x86)\Overwolf\OverwolfLauncher.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Overwolf\Rala AI - Valorant.lnk,
Valorant Tracker,C:\Program Files (x86)\Overwolf\OverwolfLauncher.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Overwolf\Valorant Tracker.lnk,
IDLE (Python 3.12 64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python312\pythonw.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.12\IDLE (Python 3.12 64-bit).lnk,
Python 3.12 (64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python312\python.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.12\Python 3.12 (64-bit).lnk,
Python 3.12 Manuals (64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python312\Doc\html\index.html,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.12\Python 3.12 Manuals (64-bit).lnk,
Python 3.12 Module Docs (64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python312\python.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.12\Python 3.12 Module Docs (64-bit).lnk,
IDLE (Python 3.13 64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python313\pythonw.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.13\IDLE (Python 3.13 64-bit).lnk,
Python 3.13 (64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python313\python.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.13\Python 3.13 (64-bit).lnk,
Python 3.13 Manuals (64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python313\Doc\html\index.html,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.13\Python 3.13 Manuals (64-bit).lnk,
Python 3.13 Module Docs (64-bit),C:\Users\srika\AppData\Local\Programs\Python\Python313\python.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Python 3.13\Python 3.13 Module Docs (64-bit).lnk,
FAQ,C:\Program Files (x86)\R-Drive Image\en\rdi-faq.url,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\R-Drive Image\FAQ.lnk,
License Agreement,C:\Program Files (x86)\R-Drive Image\en\eula.txt,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\R-Drive Image\License Agreement.lnk,
R-Drive Image Help,C:\Program Files (x86)\R-Drive Image\en\RImage.chm,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\R-Drive Image\R-Drive Image Help.lnk,
R-Drive Image,C:\Program Files (x86)\R-Drive Image\R-DriveImage.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\R-Drive Image\R-Drive Image.lnk,
Uninstall R-Drive Image,C:\Program Files (x86)\R-Drive Image\Uninstall.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\R-Drive Image\Uninstall R-Drive Image.lnk,
Disk Imager (32bit),C:\Program Files (x86)\GetData\Recover My Files v6\ForensicImager.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Recover My Files v6\Disk Imager (32bit).lnk,
Recover My Files v6 (32bit),C:\Program Files (x86)\GetData\Recover My Files v6\RecoverMyFiles.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Recover My Files v6\Recover My Files v6 (32bit).lnk,
Uninstall Recover My Files v6 (32bit),C:\Program Files (x86)\GetData\Recover My Files v6\unins000.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Recover My Files v6\Uninstall Recover My Files v6 (32bit).lnk,
Command Prompt,C:\WINDOWS\system32\cmd.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Command Prompt.lnk,
Control Panel,,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Control Panel.lnk,
Run,,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Run.lnk,
Visual Studio Code,C:\Users\srika\AppData\Local\Programs\Microsoft VS Code\Code.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Visual Studio Code\Visual Studio Code.lnk,
Windows PowerShell (x86),C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell (x86).lnk,
Windows PowerShell,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Users\srika\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell.lnk,
AacAmbientKeyScanner,C:\Program Files\ASUS\AacAmbientHal\AacAmbientKeyScanner.exe,,
AacAmbientLighting,C:\Program Files\ASUS\AacAmbientHal\AacAmbientLighting.exe,,
AsusInstallVerifier,C:\Program Files\ASUS\AacTerminalHal\AsusInstallVerifier.exe,,
AsusInstallVerifier_x64,C:\Program Files\ASUS\AacTerminalHal\AsusInstallVerifier_x64.exe,,
ArmouryCrate.Service,C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.Service.exe,,
ArmouryCrate.Uninstaller,C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.Uninstaller.exe,,
ArmouryCrate.UserSessionHelper,C:\Program Files\ASUS\Armoury Crate Service\ArmouryCrate.UserSessionHelper.exe,,
packager,C:\Program Files\ASUS\Armoury Crate Service\ACStorePlugin\packager.exe,,
AC_FDSHelper,C:\Program Files\ASUS\Armoury Crate Service\AC_FDSPlugin\AC_FDSHelper.exe,,
AppLauncher,C:\Program Files\ASUS\Armoury Crate Service\AC_FDSPlugin\AppLauncher.exe,,
DesktopCrop,C:\Program Files\ASUS\Armoury Crate Service\AuraPlugin\DesktopCrop.exe,,
ArmouryCrate.DenoiseAI,C:\Program Files\ASUS\Armoury Crate Service\DenoiseAIPlugin\ArmouryCrate.DenoiseAI.exe,,
ZipFileExtractor,C:\Program Files\ASUS\Armoury Crate Service\FeaturedPlugin\ZipFileExtractor.exe,,
AsusLumina,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\AsusLumina\AsusLumina.exe,,
AsusProArtNB,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\CalibrationExecutive\AsusProArtNB.exe,,
devcon,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\CalibrationExecutive\devcon.exe,,
DisplaySwitch,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\CalibrationExecutive\DisplaySwitch.exe,,
ResetSplendidMode,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\CalibrationExecutive\ResetSplendidMode.exe,,
SwitchISH,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\CalibrationExecutive\SwitchISH.exe,,
AsusOLEDShifter,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\OLEDCare\AsusOLEDShifter.exe,,
AsusTargetMode,C:\Program Files\ASUS\Armoury Crate Service\GameVisual\OLEDCare\AsusTargetMode.exe,,
BitLockerDialog,C:\Program Files\ASUS\Armoury Crate Service\GPUMode\BitLockerDialog.exe,,
GPUPowerSavingTrayIcon,C:\Program Files\ASUS\Armoury Crate Service\GPUMode\GPUPowerSavingTrayIcon.exe,,
UpdateDialog,C:\Program Files\ASUS\Armoury Crate Service\GPUMode\UpdateDialog.exe,,
ARMOURY CRATE eGPU Product,C:\Program Files\ASUS\Armoury Crate Service\GPUSwitch\ARMOURY CRATE eGPU Product.exe,,
BitLockerProtection,C:\Program Files\ASUS\Armoury Crate Service\GPUSwitch\BitLockerProtection.exe,,
GPUSwitchDialog,C:\Program Files\ASUS\Armoury Crate Service\GPUSwitch\GPUSwitchDialog.exe,,
GPUSwitchTutorial,C:\Program Files\ASUS\Armoury Crate Service\GPUSwitch\GPUSwitchTutorial.exe,,
GPUTrayIcon,C:\Program Files\ASUS\Armoury Crate Service\GPUSwitch\GPUTrayIcon.exe,,
WakeGPU,C:\Program Files\ASUS\Armoury Crate Service\SystemDevicePlugin\WakeGPU.exe,,
AsusCertService,C:\Program Files\ASUS\Armoury Crate Service\SystemDevicePlugin\Driver\AsIO\AsusCertService.exe,,
InstDrv,C:\Program Files\ASUS\Armoury Crate Service\SystemDevicePlugin\Driver\AsIO\InstDrv.exe,,
GetFPS,C:\Program Files\ASUS\Armoury Crate Service\ThrottleMonitorPlugin\GetFPS.exe,,
ResourceMonitorOSD,C:\Program Files\ASUS\Armoury Crate Service\ThrottleMonitorPlugin\ResourceMonitorOSD.exe,,
Armoury Crate Uninstall Tool,C:\Program Files\ASUS\Armoury Crate Service\UninstallTool\Armoury Crate Uninstall Tool.exe,,
Uninstaller,C:\Program Files\ASUS\Armoury Crate Service\UninstallTool\dll\Uninstaller.exe,,
LogHelper,C:\Program Files\ASUS\Armoury Crate Service\UserExperienceImprovement\LogHelper.exe,,
AsHotplugCtrl,C:\Program Files\ASUS\ASUS Hotplug Controller\AsHotplugCtrl.exe,,
Setup_tool,C:\Program Files\ASUS\ASUS Hotplug Controller\Setup_tool.exe,,
LM_Support,C:\Program Files\ASUS\AURA lighting effect add-on x64\LM_Support.exe,,
Aura Wallpaper Service,C:\Program Files\ASUS\Aura Wallpaper Service\Aura Wallpaper Service.exe,,
AuraWallpaperService,C:\Program Files\ASUS\Aura Wallpaper Service\AuraWallpaperService.exe,,
AuraWallpaperUserSessionHelper,C:\Program Files\ASUS\Aura Wallpaper Service\AuraWallpaperUserSessionHelper.exe,,
AsusUpdateSetup,C:\Program Files\ASUS\ROG Live Service\AsusUpdateSetup.exe,,
FileOperator,C:\Program Files\ASUS\ROG Live Service\FileOperator.exe,,
GetDeviceVersion,C:\Program Files\ASUS\ROG Live Service\GetDeviceVersion.exe,,
NotificationDialog,C:\Program Files\ASUS\ROG Live Service\NotificationDialog.exe,,
RLSInstallAction,C:\Program Files\ASUS\ROG Live Service\RLSInstallAction.exe,,
ROGLiveService,C:\Program Files\ASUS\ROG Live Service\ROGLiveService.exe,,
Launcher,C:\Program Files\ASUS\Virtual Pet\Launcher.exe,,
Setup,C:\Program Files\ASUS\Virtual Pet\Setup.exe,,
Virtual Pet,C:\Program Files\ASUS\Virtual Pet\Virtual Pet.exe,,
ceregreset,C:\Program Files\Cheat Engine 7.5\ceregreset.exe,,
cheatengine-i386,C:\Program Files\Cheat Engine 7.5\cheatengine-i386.exe,,
cheatengine-x86_64-SSE4-AVX2,C:\Program Files\Cheat Engine 7.5\cheatengine-x86_64-SSE4-AVX2.exe,,
cheatengine-x86_64,C:\Program Files\Cheat Engine 7.5\cheatengine-x86_64.exe,,
DotNetDataCollector32,C:\Program Files\Cheat Engine 7.5\DotNetDataCollector32.exe,,
DotNetDataCollector64,C:\Program Files\Cheat Engine 7.5\DotNetDataCollector64.exe,,
gtutorial-i386,C:\Program Files\Cheat Engine 7.5\gtutorial-i386.exe,,
gtutorial-x86_64,C:\Program Files\Cheat Engine 7.5\gtutorial-x86_64.exe,,
Kernelmoduleunloader,C:\Program Files\Cheat Engine 7.5\Kernelmoduleunloader.exe,,
Tutorial-x86_64,C:\Program Files\Cheat Engine 7.5\Tutorial-x86_64.exe,,
unins000,C:\Program Files\Cheat Engine 7.5\unins000.exe,,
windowsrepair,C:\Program Files\Cheat Engine 7.5\windowsrepair.exe,,
warp-cli,C:\Program Files\Cloudflare\Cloudflare WARP\warp-cli.exe,,
warp-dex,C:\Program Files\Cloudflare\Cloudflare WARP\warp-dex.exe,,
warp-diag,C:\Program Files\Cloudflare\Cloudflare WARP\warp-diag.exe,,
warp-svc,C:\Program Files\Cloudflare\Cloudflare WARP\warp-svc.exe,,
overseer,C:\Program Files\Common Files\Avast Software\Overseer\overseer.exe,,
appvcleaner,C:\Program Files\Common Files\microsoft shared\ClickToRun\appvcleaner.exe,,
AppVShNotify,C:\Program Files\Common Files\microsoft shared\ClickToRun\AppVShNotify.exe,,
InspectorOfficeGadget,C:\Program Files\Common Files\microsoft shared\ClickToRun\InspectorOfficeGadget.exe,,
IntegratedOffice,C:\Program Files\Common Files\microsoft shared\ClickToRun\IntegratedOffice.exe,,
MavInject32,C:\Program Files\Common Files\microsoft shared\ClickToRun\MavInject32.exe,,
OfficeC2RClient,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe,,
OfficeClickToRun,C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,,
officesvcmgr,C:\Program Files\Common Files\microsoft shared\ClickToRun\officesvcmgr.exe,,
TabTip,C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe,,
msinfo32,C:\Program Files\Common Files\microsoft shared\MSInfo\msinfo32.exe,,
LICLUA,C:\Program Files\Common Files\microsoft shared\OFFICE16\LICLUA.EXE,,
VSTOInstaller,C:\Program Files\Common Files\microsoft shared\VSTO\10.0\VSTOInstaller.exe,,
java,C:\Program Files\Common Files\Oracle\Java\javapath\java.exe,,
javac,C:\Program Files\Common Files\Oracle\Java\javapath\javac.exe,,
javaw,C:\Program Files\Common Files\Oracle\Java\javapath\javaw.exe,,
jshell,C:\Program Files\Common Files\Oracle\Java\javapath\jshell.exe,,
DiskMark64,C:\Program Files\CrystalDiskMark8\DiskMark64.exe,,
DiskSpd64,C:\Program Files\CrystalDiskMark8\CdmResource\DiskSpd\DiskSpd64.exe,,
DiskSpd64L,C:\Program Files\CrystalDiskMark8\CdmResource\DiskSpd\DiskSpd64L.exe,,
dotnet,C:\Program Files\dotnet\dotnet.exe,,
createdump,C:\Program Files\dotnet\shared\Microsoft.NETCore.App\6.0.16\createdump.exe,,
7za,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\7za.exe,,
AliyunWrapExe,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\AliyunWrapExe.exe,,
DRWReport,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\DRWReport.exe,,
DRWService,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\DRWService.exe,,
DRWUI,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\DRWUI.exe,,
EuDownloader,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EuDownloader.exe,,
EUHwpViewer,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUHwpViewer.exe,,
EUImgRepair,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUImgRepair.exe,,
EUinApp,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUinApp.exe,,
EuOfficeRepairWin32,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EuOfficeRepairWin32.exe,,
EuOfficeTools,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EuOfficeTools.exe,,
EUOfficeViewer,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUOfficeViewer.exe,,
EURawImg,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EURawImg.exe,,
EuRepairHost,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EuRepairHost.exe,,
EUUnZip,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUUnZip.exe,,
firebasefetch,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\firebasefetch.exe,,
InfoForSetup,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\InfoForSetup.exe,,
PDFViewer,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\PDFViewer.exe,,
send_dmp_with_aliyun,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\send_dmp_with_aliyun.exe,,
SetupUE,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\SetupUE.exe,,
DRW,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\BUILDPE\EaseUS-x64\DRW.exe,,
EuSendMessage,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\BUILDPE\EaseUS-x64\EuSendMessage.exe,,
EaseUS_VideoViewer,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\BUILDPE\EaseUS-x64\VideoViewer\EaseUS_VideoViewer.exe,,
EUImgRepairFile,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUFileRepair\EUImgRepairFile.exe,,
EuOfficeRepairFile,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUFileRepair\EuOfficeRepairFile.exe,,
EuPDFRepairFile,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\EUFileRepair\EuPDFRepairFile.exe,,
uninstall-edb-migrationtoolkit,C:\Program Files\edb\mtk\uninstall-edb-migrationtoolkit.exe,,
uninstall-pemhttpd,C:\Program Files\edb\pem\httpd\uninstall-pemhttpd.exe,,
ab,C:\Program Files\edb\pem\httpd\apache\bin\ab.exe,,
abs,C:\Program Files\edb\pem\httpd\apache\bin\abs.exe,,
ApacheMonitor,C:\Program Files\edb\pem\httpd\apache\bin\ApacheMonitor.exe,,
htcacheclean,C:\Program Files\edb\pem\httpd\apache\bin\htcacheclean.exe,,
htdbm,C:\Program Files\edb\pem\httpd\apache\bin\htdbm.exe,,
htdigest,C:\Program Files\edb\pem\httpd\apache\bin\htdigest.exe,,
htpasswd,C:\Program Files\edb\pem\httpd\apache\bin\htpasswd.exe,,
httpd,C:\Program Files\edb\pem\httpd\apache\bin\httpd.exe,,
httxt2dbm,C:\Program Files\edb\pem\httpd\apache\bin\httxt2dbm.exe,,
logresolve,C:\Program Files\edb\pem\httpd\apache\bin\logresolve.exe,,
openssl,C:\Program Files\edb\pem\httpd\apache\bin\openssl.exe,,
rotatelogs,C:\Program Files\edb\pem\httpd\apache\bin\rotatelogs.exe,,
wintty,C:\Program Files\edb\pem\httpd\apache\bin\wintty.exe,,
vcredist_x64,C:\Program Files\edb\pem\httpd\installer\PEM-HTTPD\vcredist_x64.exe,,
chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,,
chrome_proxy,C:\Program Files\Google\Chrome\Application\chrome_proxy.exe,,
chrome_pwa_launcher,C:\Program Files\Google\Chrome\Application\136.0.7103.114\chrome_pwa_launcher.exe,,
elevated_tracing_service,C:\Program Files\Google\Chrome\Application\136.0.7103.114\elevated_tracing_service.exe,,
elevation_service,C:\Program Files\Google\Chrome\Application\136.0.7103.114\elevation_service.exe,,
notification_helper,C:\Program Files\Google\Chrome\Application\136.0.7103.114\notification_helper.exe,,
os_update_handler,C:\Program Files\Google\Chrome\Application\136.0.7103.114\os_update_handler.exe,,
chrmstp,C:\Program Files\Google\Chrome\Application\136.0.7103.114\Installer\chrmstp.exe,,
setup,C:\Program Files\Google\Chrome\Application\136.0.7103.114\Installer\setup.exe,,
ExtExport,C:\Program Files\Internet Explorer\ExtExport.exe,,
iediagcmd,C:\Program Files\Internet Explorer\iediagcmd.exe,,
ieinstal,C:\Program Files\Internet Explorer\ieinstal.exe,,
ielowutil,C:\Program Files\Internet Explorer\ielowutil.exe,,
iexplore,C:\Program Files\Internet Explorer\iexplore.exe,,
jabswitch,C:\Program Files\Java\jdk-21\bin\jabswitch.exe,,
jaccessinspector,C:\Program Files\Java\jdk-21\bin\jaccessinspector.exe,,
jaccesswalker,C:\Program Files\Java\jdk-21\bin\jaccesswalker.exe,,
jar,C:\Program Files\Java\jdk-21\bin\jar.exe,,
jarsigner,C:\Program Files\Java\jdk-21\bin\jarsigner.exe,,
javadoc,C:\Program Files\Java\jdk-21\bin\javadoc.exe,,
javap,C:\Program Files\Java\jdk-21\bin\javap.exe,,
jcmd,C:\Program Files\Java\jdk-21\bin\jcmd.exe,,
jconsole,C:\Program Files\Java\jdk-21\bin\jconsole.exe,,
jdb,C:\Program Files\Java\jdk-21\bin\jdb.exe,,
jdeprscan,C:\Program Files\Java\jdk-21\bin\jdeprscan.exe,,
jdeps,C:\Program Files\Java\jdk-21\bin\jdeps.exe,,
jfr,C:\Program Files\Java\jdk-21\bin\jfr.exe,,
jhsdb,C:\Program Files\Java\jdk-21\bin\jhsdb.exe,,
jimage,C:\Program Files\Java\jdk-21\bin\jimage.exe,,
jinfo,C:\Program Files\Java\jdk-21\bin\jinfo.exe,,
jlink,C:\Program Files\Java\jdk-21\bin\jlink.exe,,
jmap,C:\Program Files\Java\jdk-21\bin\jmap.exe,,
jmod,C:\Program Files\Java\jdk-21\bin\jmod.exe,,
jpackage,C:\Program Files\Java\jdk-21\bin\jpackage.exe,,
jps,C:\Program Files\Java\jdk-21\bin\jps.exe,,
jrunscript,C:\Program Files\Java\jdk-21\bin\jrunscript.exe,,
jstack,C:\Program Files\Java\jdk-21\bin\jstack.exe,,
jstat,C:\Program Files\Java\jdk-21\bin\jstat.exe,,
jstatd,C:\Program Files\Java\jdk-21\bin\jstatd.exe,,
jwebserver,C:\Program Files\Java\jdk-21\bin\jwebserver.exe,,
keytool,C:\Program Files\Java\jdk-21\bin\keytool.exe,,
kinit,C:\Program Files\Java\jdk-21\bin\kinit.exe,,
klist,C:\Program Files\Java\jdk-21\bin\klist.exe,,
ktab,C:\Program Files\Java\jdk-21\bin\ktab.exe,,
rmiregistry,C:\Program Files\Java\jdk-21\bin\rmiregistry.exe,,
serialver,C:\Program Files\Java\jdk-21\bin\serialver.exe,,
java-rmi,C:\Program Files\Java\jre1.8.0_441\bin\java-rmi.exe,,
javacpl,C:\Program Files\Java\jre1.8.0_441\bin\javacpl.exe,,
javaws,C:\Program Files\Java\jre1.8.0_441\bin\javaws.exe,,
jjs,C:\Program Files\Java\jre1.8.0_441\bin\jjs.exe,,
jp2launcher,C:\Program Files\Java\jre1.8.0_441\bin\jp2launcher.exe,,
orbd,C:\Program Files\Java\jre1.8.0_441\bin\orbd.exe,,
pack200,C:\Program Files\Java\jre1.8.0_441\bin\pack200.exe,,
policytool,C:\Program Files\Java\jre1.8.0_441\bin\policytool.exe,,
rmid,C:\Program Files\Java\jre1.8.0_441\bin\rmid.exe,,
servertool,C:\Program Files\Java\jre1.8.0_441\bin\servertool.exe,,
ssvagent,C:\Program Files\Java\jre1.8.0_441\bin\ssvagent.exe,,
tnameserv,C:\Program Files\Java\jre1.8.0_441\bin\tnameserv.exe,,
unpack200,C:\Program Files\Java\jre1.8.0_441\bin\unpack200.exe,,
browserhost,C:\Program Files\McAfee\WebAdvisor\browserhost.exe,,
microsoftedgewebview2setup,C:\Program Files\McAfee\WebAdvisor\microsoftedgewebview2setup.exe,,
servicehost,C:\Program Files\McAfee\WebAdvisor\servicehost.exe,,
uihost,C:\Program Files\McAfee\WebAdvisor\uihost.exe,,
uninstaller,C:\Program Files\McAfee\WebAdvisor\uninstaller.exe,,
updater,C:\Program Files\McAfee\WebAdvisor\updater.exe,,
OSPPREARM,C:\Program Files\Microsoft Office\Office16\OSPPREARM.EXE,,
AppVDllSurrogate,C:\Program Files\Microsoft Office\root\Client\AppVDllSurrogate.exe,,
AppVDllSurrogate32,C:\Program Files\Microsoft Office\root\Client\AppVDllSurrogate32.exe,,
AppVDllSurrogate64,C:\Program Files\Microsoft Office\root\Client\AppVDllSurrogate64.exe,,
AppVLP,C:\Program Files\Microsoft Office\root\Client\AppVLP.exe,,
Integrator,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,,
CLVIEW,C:\Program Files\Microsoft Office\root\Office16\CLVIEW.EXE,,
EXCEL,C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,,
excelcnv,C:\Program Files\Microsoft Office\root\Office16\excelcnv.exe,,
GRAPH,C:\Program Files\Microsoft Office\root\Office16\GRAPH.EXE,,
misc,C:\Program Files\Microsoft Office\root\Office16\misc.exe,,
msoadfsb,C:\Program Files\Microsoft Office\root\Office16\msoadfsb.exe,,
msoasb,C:\Program Files\Microsoft Office\root\Office16\msoasb.exe,,
MSOHTMED,C:\Program Files\Microsoft Office\root\Office16\MSOHTMED.EXE,,
MSOSREC,C:\Program Files\Microsoft Office\root\Office16\MSOSREC.EXE,,
MSQRY32,C:\Program Files\Microsoft Office\root\Office16\MSQRY32.EXE,,
NAMECONTROLSERVER,C:\Program Files\Microsoft Office\root\Office16\NAMECONTROLSERVER.EXE,,
officeappguardwin32,C:\Program Files\Microsoft Office\root\Office16\officeappguardwin32.exe,,
OfficeScrBroker,C:\Program Files\Microsoft Office\root\Office16\OfficeScrBroker.exe,,
OfficeScrSanBroker,C:\Program Files\Microsoft Office\root\Office16\OfficeScrSanBroker.exe,,
ONENOTE,C:\Program Files\Microsoft Office\root\Office16\ONENOTE.EXE,,
ONENOTEM,C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE,,
ORGCHART,C:\Program Files\Microsoft Office\root\Office16\ORGCHART.EXE,,
PDFREFLOW,C:\Program Files\Microsoft Office\root\Office16\PDFREFLOW.EXE,,
PerfBoost,C:\Program Files\Microsoft Office\root\Office16\PerfBoost.exe,,
POWERPNT,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE,,
PPTICO,C:\Program Files\Microsoft Office\root\Office16\PPTICO.EXE,,
protocolhandler,C:\Program Files\Microsoft Office\root\Office16\protocolhandler.exe,,
SDXHelper,C:\Program Files\Microsoft Office\root\Office16\SDXHelper.exe,,
SDXHelperBgt,C:\Program Files\Microsoft Office\root\Office16\SDXHelperBgt.exe,,
SELFCERT,C:\Program Files\Microsoft Office\root\Office16\SELFCERT.EXE,,
SETLANG,C:\Program Files\Microsoft Office\root\Office16\SETLANG.EXE,,
VPREVIEW,C:\Program Files\Microsoft Office\root\Office16\VPREVIEW.EXE,,
WINWORD,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE,,
Wordconv,C:\Program Files\Microsoft Office\root\Office16\Wordconv.exe,,
WORDICON,C:\Program Files\Microsoft Office\root\Office16\WORDICON.EXE,,
XLICONS,C:\Program Files\Microsoft Office\root\Office16\XLICONS.EXE,,
Microsoft.Mashup.Container.Loader,C:\Program Files\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\Microsoft.Mashup.Container.Loader.exe,,
