AppName,ExecutablePath,ShortcutPath,AppUserModelID
Windows Defender Firewall with Advanced Security,C:\WINDOWS\system32\WF.msc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Defender Firewall with Advanced Security.lnk,
Autopsy 4.21.0,C:\Program Files\Autopsy-4.21.0\bin\autopsy64.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Autopsy\Autopsy 4.21.0.lnk,
BEViewer with Bulk Extractor 1.5.5 (64-bit),C:\Program Files (x86)\Bulk Extractor 1.5.5\64-bit\BEViewerLauncher.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Bulk Extractor 1.5.5\BEViewer with Bulk Extractor 1.5.5 (64-bit).lnk,
Programmers Manual,C:\Program Files (x86)\Bulk Extractor 1.5.5\pdf\BEProgrammersManual.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Bulk Extractor 1.5.5\Programmers Manual.lnk,
Uninstall Bulk Extractor 1.5.5,C:\Program Files (x86)\Bulk Extractor 1.5.5\uninstall.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Bulk Extractor 1.5.5\Uninstall Bulk Extractor 1.5.5.lnk,
Users Manual,C:\Program Files (x86)\Bulk Extractor 1.5.5\pdf\BEUsersManual.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Bulk Extractor 1.5.5\Users Manual.lnk,
Worked Examples,C:\Program Files (x86)\Bulk Extractor 1.5.5\pdf\BEWorkedExamplesStandalone.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Bulk Extractor 1.5.5\Worked Examples.lnk,
Cheat Engine (32-bit),C:\Program Files\Cheat Engine 7.5\cheatengine-i386.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Cheat Engine (32-bit).lnk,
Cheat Engine (64-bit SSE4-AVX2),C:\Program Files\Cheat Engine 7.5\cheatengine-x86_64-SSE4-AVX2.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Cheat Engine (64-bit SSE4-AVX2).lnk,
Cheat Engine (64-bit),C:\Program Files\Cheat Engine 7.5\cheatengine-x86_64.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Cheat Engine (64-bit).lnk,
Cheat Engine help,C:\Program Files\Cheat Engine 7.5\CheatEngine.chm,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Cheat Engine help.lnk,
Cheat Engine tutorial (64-bit),C:\Program Files\Cheat Engine 7.5\Tutorial-x86_64.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Cheat Engine tutorial (64-bit).lnk,
Cheat Engine tutorial,C:\Program Files\Cheat Engine 7.5\Tutorial-i386.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Cheat Engine tutorial.lnk,
Cheat Engine,C:\Program Files\Cheat Engine 7.5\Cheat Engine.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Cheat Engine.lnk,
Lua documentation,C:\WINDOWS\system32\notepad.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Lua documentation.lnk,
Reset settings,C:\Program Files\Cheat Engine 7.5\ceregreset.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Reset settings.lnk,
Uninstall Cheat Engine,C:\Program Files\Cheat Engine 7.5\unins000.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Uninstall Cheat Engine.lnk,
Unload kernel module,C:\Program Files\Cheat Engine 7.5\Kernelmoduleunloader.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cheat Engine 7.5\Kernel stuff\Unload kernel module.lnk,
Cloudflare WARP,C:\Program Files\Cloudflare\Cloudflare WARP\Cloudflare WARP.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cloudflare\Cloudflare WARP.lnk,
Uninstall EaseUS Data Recovery Wizard,C:\Program Files\EaseUS\EaseUS Data Recovery Wizard\unins000.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\EaseUS Data Recovery Wizard\Uninstall EaseUS Data Recovery Wizard.lnk,
CFF Explorer,C:\Program Files\NTCore\Explorer Suite\CFF Explorer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\CFF Explorer.lnk,
Scripts,C:\Windows\explorer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\Scripts.lnk,
Signature Explorer,C:\Program Files\NTCore\Explorer Suite\Signature Explorer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\Signature Explorer.lnk,
Task Explorer,C:\Program Files\NTCore\Explorer Suite\Task Explorer.exe,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\Task Explorer.lnk,
CFF Explorer Scripting Language.pdf,C:\Program Files\NTCore\Explorer Suite\SDK\CFF Explorer Scripting Language.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\SDK\CFF Explorer Scripting Language.pdf.lnk,
How-To CFF Extension,C:\Program Files\NTCore\Explorer Suite\SDK\How-To CFF Extension.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\SDK\How-To CFF Extension.lnk,
Signatures Technical Details,C:\Program Files\NTCore\Explorer Suite\SDK\Signatures Technical Details.pdf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Explorer Suite\SDK\Signatures Technical Details.lnk,
